sido,jiyeok,sido_en,jiyeok_en
경기,고양시일산구,Gyeonggi,Goyang-si Ilsan-gu
경기,고양시일산동구,Gyeonggi,Goyang-si Ilsandong-gu
경기,고양시일산서구,Gyeonggi,Goyang-si Ilsanseo-gu
경기,부천시,Gyeonggi,Bucheon-si
경기,부천시소사구,Gyeonggi,Bucheon-si Sosa-gu
경기,부천시오정구,Gyeonggi,Bucheon-si Ojeong-gu
경기,부천시원미구,Gyeonggi,Bucheon-si Wonmi-gu
경기,여주군,Gyeonggi,Yeoju-gun
경기,여주시,Gyeonggi,Yeoju-si
경기,용인시,Gyeonggi,Yongin-si
경기,용인시기흥구,Gyeonggi,Yongin-si Giheung-gu
경기,용인시수지구,Gyeonggi,Yongin-si Suji-gu
경기,용인시처인구,Gyeonggi,Yongin-si Cheoin-gu
경남,마산시,Gyeongnam,Masan-si
경남,진해시,Gyeongnam,Jinhae-si
경남,창원시,Gyeongnam,Changwon-si
경남,창원시마산합포구,Gyeongnam,Changwon-si Masanhappo-gu
경남,창원시마산회원구,Gyeongnam,Changwon-si Masanhoewon-gu
경남,창원시성산구,Gyeongnam,Changwon-si Seongsan-gu
경남,창원시의창구,Gyeongnam,Changwon-si Uichang-gu
경남,창원시진해구,Gyeongnam,Changwon-si Jinhae-gu
경북,군위군,Gyeongbuk,Gunwi-gun
대구,군위군,Daegu,Gunwi-gun
인천,남구,Incheon,Nam-gu
인천,미추홀구,Incheon,Michuhol-gu
충남,당진군,Chungnam,Dangjin-gun
충남,당진시,Chungnam,Dangjin-si
충남,연기군,Chungnam,Yeongi-gun
충남,천안시,Chungnam,Cheonan-si
충남,천안시동남구,Chungnam,Cheonan-si Dongnam-gu
충남,천안시서북구,Chungnam,Cheonan-si Seobuk-gu
충북,청원군,Chungbuk,Cheongwon-gun
충북,청주시서원구,Chungbuk,Cheongju-si Seowon-gu
충북,청주시청원구,Chungbuk,Cheongju-si Cheongwon-gu
